# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   201429262 | 4449 |   89 |   89 | 4.687 | 0.049 | 0.035 | -0.019 | 0.150 | 0.270 |   0.618 |   0.043 |   0.070 |   0.680 |   0.043 |   0.068 | 2.811e+00 | 7.605e-01 | 3.907e-01 | 3.685e+02 | 4.421e+01 | 4.563e+01 | 0.0319 | 0.0132 | 0.0110 |   rpm
   201430762 | 5093 |  122 |   81 | 4.577 | 0.035 | 0.868 | -0.176 | 0.200 | 0.360 |   0.769 |   1.452 |   0.061 |   0.827 |   0.086 |   0.072 | 1.751e+00 | 3.444e-01 | 1.673e+00 | 5.620e+02 | 1.117e+03 | 6.434e+01 | 0.0335 | 0.0162 | 0.0090 |   rpm
   201431190 | 3770 |  450 |  386 | 4.990 | 0.125 | 0.175 | -0.228 | 0.250 | 0.400 |   0.285 |   0.152 |   0.099 |   0.303 |   0.219 |   0.137 | 1.131e+01 | 1.178e+01 | 6.505e+00 | 5.644e+02 | 4.255e+02 | 2.426e+02 | 0.0328 | 0.0126 | 0.0108 |   col
   201431984 | 3969 |  343 |  343 | 4.884 | 0.156 | 0.130 | -0.260 | 0.250 | 0.350 |   0.376 |   0.151 |   0.136 |   0.435 |   0.135 |   0.189 | 6.454e+00 | 7.995e+00 | 2.825e+00 | 6.896e+02 | 3.375e+02 | 2.948e+02 | 0.0319 | 0.0140 | 0.0100 |   col
   201432063 | 3587 |  153 |  184 | 5.029 | 0.105 | 0.075 | -0.037 | 0.150 | 0.210 |   0.252 |   0.072 |   0.066 |   0.246 |   0.099 |   0.083 | 1.484e+01 | 1.167e+01 | 5.034e+00 | 1.432e+02 | 5.400e+01 | 4.565e+01 | 0.0239 | 0.0126 | 0.0090 |   col
   201432624 | 5491 |  106 |  127 | 4.519 | 0.054 | 0.657 | -0.386 | 0.300 | 0.420 |   0.825 |   0.861 |   0.085 |   0.852 |   0.079 |   0.095 | 1.465e+00 | 3.372e-01 | 7.406e-01 | 6.666e+02 | 7.370e+02 | 8.440e+01 | 0.0341 | 0.0132 | 0.0110 |   rpm
   201432656 | 4475 |   90 |   90 | 4.691 | 0.040 | 0.056 | -0.178 | 0.240 | 0.200 |   0.605 |   0.067 |   0.060 |   0.668 |   0.065 |   0.065 | 2.988e+00 | 6.044e-01 | 6.793e-01 | 2.741e+02 | 4.178e+01 | 2.641e+01 | 0.0306 | 0.0090 | 0.0108 |   rpm
   201432776 | 5021 |  100 |   60 | 4.559 | 0.045 | 0.063 |  0.030 | 0.150 | 0.240 |   0.788 |   0.080 |   0.061 |   0.853 |   0.042 |   0.051 | 1.700e+00 | 2.700e-01 | 3.866e-01 | 5.106e+02 | 7.215e+01 | 4.600e+01 | 0.0370 | 0.0096 | 0.0112 |   rpm
   201432946 | 3538 |  112 |   42 | 5.018 | 0.042 | 0.042 |  0.017 | 0.100 | 0.140 |   0.262 |   0.040 |   0.035 |   0.260 |   0.063 |   0.048 | 1.412e+01 | 4.451e+00 | 2.956e+00 | 6.651e+01 | 1.188e+01 | 1.008e+01 | 0.0212 | 0.0024 | 0.0084 |   rpm
   201434045 | 5622 |  110 |  155 | 4.457 | 0.048 | 0.528 | -0.087 | 0.160 | 0.200 |   0.957 |   0.914 |   0.071 |   0.968 |   0.119 |   0.066 | 1.102e+00 | 1.927e-01 | 9.371e-01 | 3.217e+02 | 3.143e+02 | 2.831e+01 | 0.0374 | 0.0144 | 0.0120 |   rpm
