# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   210459199 | 3601 |  131 |   87 | 4.995 | 0.040 | 0.048 |  0.016 | 0.090 | 0.120 |   0.279 |   0.044 |   0.038 |   0.289 |   0.067 |   0.056 | 1.262e+01 | 3.451e+00 | 3.178e+00 | 5.749e+01 | 1.657e+01 | 1.286e+01 | 0.0661 | 0.0462 | 0.0264 |   rpm
   210459210 | 3726 |  309 |   88 | 4.913 | 0.055 | 0.088 |  0.084 | 0.090 | 0.210 |   0.355 |   0.090 |   0.043 |   0.391 |   0.127 |   0.064 | 8.001e+00 | 2.669e+00 | 2.953e+00 | 1.630e+02 | 6.097e+01 | 3.112e+01 | 0.3333 | 0.0780 | 0.1040 |   rpm
   210459297 | 4187 |  150 |  125 | 4.772 | 0.030 | 0.048 | -0.069 | 0.150 | 0.180 |   0.516 |   0.051 |   0.033 |   0.587 |   0.050 |   0.042 | 4.114e+00 | 6.095e-01 | 7.235e-01 | 2.089e+02 | 2.962e+01 | 1.978e+01 | 0.3167 | 0.0688 | 0.1032 |   rpm
   210459394 | 3247 |  668 |  557 | 5.164 | 0.080 | 0.128 | -0.298 | 0.300 | 0.540 |   0.158 |   0.095 |   0.040 |   0.143 |   0.126 |   0.048 | 3.279e+01 | 2.039e+01 | 1.766e+01 | 6.947e+01 | 5.423e+01 | 2.346e+01 | 0.0826 | 0.0968 | 0.0440 |   rpm
   210459403 | 4171 |  139 |  162 | 1.583 | 0.265 | 0.318 | -0.212 | 0.250 | 0.300 |  28.382 |  12.154 |   6.003 |   1.191 |   0.227 |   0.170 | 4.257e-05 | 6.635e-05 | 2.835e-05 | 1.763e+03 | 6.828e+02 | 3.456e+02 | 0.5804 | 0.1520 | 0.1824 |   rpm
   210459446 | 4752 |  144 |  115 | 2.488 | 0.288 | 0.120 | -0.097 | 0.150 | 0.210 |  11.017 |   0.842 |   1.921 |   1.457 |   0.461 |   0.329 | 1.028e-03 | 1.349e-03 | 2.660e-04 | 7.830e+02 | 7.002e+01 | 1.042e+02 | 0.3372 | 0.1320 | 0.1320 |   rpm
   210459632 | 6497 |  215 |  322 | 4.153 | 0.108 | 0.180 | -0.016 | 0.060 | 0.080 |   1.582 |   0.317 |   0.181 |   1.335 |   0.032 |   0.122 | 3.285e-01 | 1.198e-01 | 1.521e-01 | 4.280e+02 | 6.364e+01 | 4.795e+01 | 0.5533 | 0.0546 | 0.0780 |   rpm
   210459662 | 5703 |  174 |  244 | 4.434 | 0.108 | 0.360 | -0.329 | 0.350 | 0.420 |   0.926 |   0.504 |   0.139 |   0.912 |   0.047 |   0.102 | 1.065e+00 | 4.392e-01 | 7.780e-01 | 2.686e+02 | 1.022e+02 | 8.617e+01 | 0.3722 | 0.1668 | 0.1668 |   rpm
   210459700 | 5163 |  218 |  155 | 4.580 | 0.025 | 0.050 | -0.130 | 0.160 | 0.240 |   0.768 |   0.086 |   0.047 |   0.839 |   0.042 |   0.068 | 1.787e+00 | 2.413e-01 | 3.643e-01 | 2.234e+02 | 4.555e+01 | 1.834e+01 | 0.2373 | 0.1512 | 0.1260 |   rpm
   210459906 | 5135 |   82 |  186 | 3.715 | 0.819 | 0.455 | -0.337 | 0.350 | 0.560 |   2.315 |   1.078 |   1.580 |   0.899 |   0.144 |   0.060 | 7.783e-02 | 1.722e+00 | 5.916e-02 | 6.306e+02 | 3.239e+02 | 4.160e+02 | 0.4252 | 0.1164 | 0.1164 |   rpm
