# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   202483641 | 4031 |  301 |  167 | 4.818 | 0.045 | 0.081 | -0.059 | 0.200 | 0.280 |   0.467 |   0.091 |   0.052 |   0.526 |   0.092 |   0.061 | 5.078e+00 | 1.344e+00 | 1.508e+00 | 1.995e+02 | 6.059e+01 | 2.733e+01 | 0.1968 | 0.1932 | 0.0828 |   rpm
   202488467 | 5985 |  282 |  176 | 4.095 | 0.300 | 0.360 |  0.008 | 0.150 | 0.180 |   1.570 |   0.907 |   0.575 |   1.181 |   0.325 |   0.148 | 2.767e-01 | 5.399e-01 | 2.012e-01 | 2.658e+02 | 1.584e+02 | 9.925e+01 | 0.2134 | 0.1200 | 0.1000 |   rpm
   202491250 | 6385 |  256 |  220 | 4.054 | 0.200 | 0.240 | -0.004 | 0.120 | 0.240 |   1.649 |   0.779 |   0.354 |   1.333 |   0.258 |   0.193 | 2.498e-01 | 2.486e-01 | 1.548e-01 | 5.524e+02 | 2.609e+02 | 1.186e+02 | 0.2251 | 0.0912 | 0.0760 |   rpm
   202496545 | 6591 |  378 |  210 | 4.199 | 0.060 | 0.216 |  0.017 | 0.150 | 0.120 |   1.536 |   0.542 |   0.165 |   1.385 |   0.179 |   0.128 | 3.644e-01 | 1.160e-01 | 2.053e-01 | 5.336e+02 | 1.889e+02 | 5.473e+01 | 0.2227 | 0.1386 | 0.0630 |   rpm
   202499459 | 6193 |  252 |  252 | 4.051 | 0.246 | 0.328 |  0.008 | 0.150 | 0.180 |   1.652 |   1.025 |   0.430 |   1.271 |   0.305 |   0.229 | 2.262e-01 | 3.771e-01 | 1.542e-01 | 4.234e+02 | 2.601e+02 | 1.095e+02 | 0.3521 | 0.1476 | 0.1722 |   rpm
   202501727 | 7508 |  392 |  470 | 3.984 | 0.195 | 0.195 |  0.017 | 0.120 | 0.090 |   2.187 |   0.657 |   0.591 |   1.823 |   0.231 |   0.231 | 1.517e-01 | 1.581e-01 | 7.742e-02 | 5.567e+02 | 2.125e+02 | 1.315e+02 | 0.3277 | 0.1704 | 0.1420 |   rpm
   202502512 | 6299 |  257 |  257 | 4.095 | 0.205 | 0.287 |  0.049 | 0.120 | 0.120 |   1.665 |   0.832 |   0.436 |   1.344 |   0.287 |   0.191 | 2.573e-01 | 2.681e-01 | 1.626e-01 | 6.026e+02 | 2.789e+02 | 1.434e+02 | 0.2754 | 0.1078 | 0.0924 |   rpm
   202506039 | 6896 |  125 |  460 | 3.935 | 0.150 | 0.150 |  0.064 | 0.060 | 0.080 |   2.211 |   0.704 |   0.372 |   1.633 |   0.151 |   0.120 | 1.443e-01 | 1.153e-01 | 6.407e-02 | 5.892e+02 | 1.560e+02 | 1.233e+02 | 0.6733 | 0.0680 | 0.1020 |   rpm
   202506474 | 6094 |  277 |  197 | 4.244 | 0.110 | 0.132 | -0.119 | 0.240 | 0.280 |   1.269 |   0.225 |   0.191 |   1.103 |   0.172 |   0.143 | 4.934e-01 | 2.638e-01 | 1.719e-01 | 4.919e+02 | 1.050e+02 | 8.651e+01 | 0.2576 | 0.1350 | 0.0750 |   rpm
   202507039 | 6852 |  256 |  341 | 4.083 | 0.147 | 0.084 |  0.048 | 0.200 | 0.200 |   1.774 |   0.384 |   0.371 |   1.485 |   0.249 |   0.249 | 2.449e-01 | 1.749e-01 | 8.861e-02 | 3.954e+02 | 1.033e+02 | 8.190e+01 | 0.3562 | 0.0144 | 0.1608 |   rpm
   202512864 | 4611 |   92 |  111 | 2.381 | 0.060 | 0.096 | -0.064 | 0.120 | 0.120 |  11.680 |   1.407 |   0.597 |   1.184 |   0.186 |   0.103 | 7.526e-04 | 1.115e-04 | 2.124e-04 | 1.837e+03 | 2.128e+02 | 1.384e+02 | 0.3587 | 0.2580 | 0.1548 |   rav
   202514927 | 6044 |  188 |  188 | 4.230 | 0.150 | 0.180 | -0.059 | 0.180 | 0.360 |   1.236 |   0.369 |   0.210 |   1.076 |   0.164 |   0.137 | 4.916e-01 | 3.242e-01 | 2.497e-01 | 3.976e+02 | 1.203e+02 | 8.060e+01 | 0.2819 | 0.1344 | 0.0960 |   rpm
   202515599 | 3601 | 2860 |  173 | 4.989 | 0.100 | 0.900 | -0.012 | 0.180 | 0.210 |   0.261 |   1.411 |   0.072 |   0.262 |   1.069 |   0.081 | 1.324e+01 | 9.507e+00 | 1.297e+01 | 9.629e+01 | 7.316e+02 | 2.749e+01 | 0.1354 | 1.7854 | 0.0948 |   col
   202517891 | 6090 |  333 |  333 | 3.991 | 0.371 | 0.265 |  0.020 | 0.150 | 0.210 |   1.741 |   1.038 |   0.650 |   1.250 |   0.419 |   0.209 | 1.727e-01 | 4.515e-01 | 1.135e-01 | 4.233e+02 | 2.585e+02 | 1.605e+02 | 0.4751 | 0.1260 | 0.1680 |   rpm
   202518093 | 3669 |   87 |  109 | 4.980 | 0.056 | 0.048 |  0.009 | 0.120 | 0.180 |   0.301 |   0.045 |   0.051 |   0.323 |   0.060 |   0.081 | 1.106e+01 | 4.347e+00 | 2.434e+00 | 1.144e+02 | 2.031e+01 | 2.340e+01 | 0.0930 | 0.0546 | 0.0390 |   rpm
   202518676 | 7297 | 1184 |  493 | 3.861 | 0.275 | 0.275 |  0.041 | 0.120 | 0.080 |   2.533 |   1.354 |   0.883 |   1.946 |   0.358 |   0.430 | 1.187e-01 | 1.935e-01 | 8.151e-02 | 4.464e+02 | 2.093e+02 | 1.425e+02 | 0.2831 | 0.3260 | 0.1304 |   rpm
   202520669 | 5909 |   70 |   70 | 4.093 | 0.320 | 0.080 | -0.206 | 0.180 | 0.120 |   1.516 |   0.120 |   0.510 |   1.026 |   0.043 |   0.085 | 2.941e-01 | 6.024e-01 | 6.581e-02 | 4.889e+02 | 6.473e+01 | 1.522e+02 | 1.7293 | 0.0910 | 0.0650 |   rpm
   202521463 | 8284 |  580 |  414 | 4.108 | 0.085 | 0.136 |  0.055 | 0.090 | 0.120 |   2.022 |   0.445 |   0.236 |   1.995 |   0.219 |   0.219 | 2.151e-01 | 1.016e-01 | 8.670e-02 | 9.376e+02 | 1.907e+02 | 1.340e+02 | 0.2303 | 0.1144 | 0.0624 |   rpm
   202521690 | 4773 |   57 |   57 | 2.829 | 0.400 | 0.500 | -0.233 | 0.250 | 0.600 |   6.328 |   3.303 |   2.170 |   1.118 |   0.114 |   0.183 | 3.925e-03 | 1.229e-02 | 2.975e-03 | 7.246e+02 | 4.642e+02 | 2.370e+02 | 0.9847 | 0.1420 | 0.2272 |   rpm
   202521931 | 6393 |  401 |  251 | 3.899 | 0.198 | 0.330 | -0.033 | 0.100 | 0.060 |   2.174 |   1.471 |   0.609 |   1.522 |   0.437 |   0.218 | 1.278e-01 | 1.677e-01 | 9.355e-02 | 2.331e+02 | 2.201e+02 | 5.065e+01 | 0.2101 | 0.2424 | 0.1010 |   rpm
   202522205 | 4929 |   49 |  158 | 2.575 | 0.384 | 0.020 | -0.914 | 0.840 | 0.050 |   8.062 |   0.161 |   2.816 |   0.899 |   0.147 |   0.018 | 1.707e-03 | 4.590e-03 | 1.024e-04 | 6.759e+02 | 1.186e+02 | 2.028e+01 | 1.1335 | 0.0010 | 0.2804 |   rpm
   202522885 | 6293 |  316 |  316 | 3.844 | 0.352 | 0.160 | -0.010 | 0.150 | 0.210 |   2.315 |   0.578 |   0.913 |   1.469 |   0.230 |   0.269 | 1.081e-01 | 3.029e-01 | 5.266e-02 | 5.676e+02 | 1.582e+02 | 2.205e+02 | 0.4286 | 0.1040 | 0.1456 |   rpm
   202523595 | 6736 |  493 |  308 | 4.086 | 0.156 | 0.286 |  0.031 | 0.100 | 0.120 |   1.777 |   0.763 |   0.356 |   1.515 |   0.238 |   0.198 | 2.515e-01 | 1.659e-01 | 1.602e-01 | 5.842e+02 | 2.353e+02 | 1.255e+02 | 0.3558 | 0.1668 | 0.1390 |   rpm
   202524330 | 5439 |  387 |  161 | 4.514 | 0.048 | 0.448 | -0.065 | 0.150 | 0.180 |   0.867 |   0.642 |   0.066 |   0.924 |   0.082 |   0.068 | 1.350e+00 | 2.730e-01 | 1.073e+00 | 2.310e+02 | 1.903e+02 | 1.779e+01 | 0.2115 | 0.1620 | 0.0810 |   rpm
