# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   206301180 | 5942 |  120 |  120 | 4.126 | 0.288 | 0.240 | -0.171 | 0.200 | 0.320 |   1.368 |   0.386 |   0.402 |   1.044 |   0.120 |   0.120 | 3.355e-01 | 4.995e-01 | 1.786e-01 | 4.869e+02 | 1.409e+02 | 1.400e+02 | 0.0458 | 0.0220 | 0.0110 |   rpm
   206305963 | 3612 |   86 |   86 | 5.008 | 0.040 | 0.020 | -0.015 | 0.120 | 0.210 |   0.273 |   0.021 |   0.037 |   0.275 |   0.041 |   0.048 | 1.332e+01 | 3.761e+00 | 1.311e+00 | 1.244e+02 | 1.844e+01 | 1.606e+01 | 0.0292 | 0.0070 | 0.0084 |   rpm
   206309570 | 3978 |  190 |  158 | 4.843 | 0.065 | 0.065 | -0.114 | 0.200 | 0.240 |   0.428 |   0.069 |   0.070 |   0.482 |   0.079 |   0.095 | 5.890e+00 | 2.545e+00 | 1.524e+00 | 2.708e+02 | 5.855e+01 | 5.669e+01 | 0.0404 | 0.0240 | 0.0100 |   rpm
   206317135 | 6045 |  122 |  122 | 4.244 | 0.145 | 0.232 | -0.208 | 0.200 | 0.320 |   1.232 |   0.422 |   0.219 |   1.044 |   0.133 |   0.133 | 5.524e-01 | 3.231e-01 | 3.325e-01 | 4.519e+02 | 1.731e+02 | 8.289e+01 | 0.0416 | 0.0126 | 0.0090 |   rpm
   206317533 | 6158 |  148 |  148 | 4.171 | 0.130 | 0.130 | -0.165 | 0.150 | 0.150 |   1.359 |   0.313 |   0.216 |   1.116 |   0.123 |   0.103 | 4.053e-01 | 2.445e-01 | 1.753e-01 | 3.259e+02 | 6.322e+01 | 5.295e+01 | 0.0405 | 0.0144 | 0.0090 |   rav
   206321157 | 5894 |  178 |  178 | 3.834 | 0.100 | 0.100 | -0.145 | 0.120 | 0.150 |   2.160 |   0.384 |   0.326 |   1.246 |   0.181 |   0.155 | 1.102e-01 | 5.092e-02 | 3.482e-02 | 4.935e+02 | 1.086e+02 | 7.540e+01 | 0.0433 | 0.0162 | 0.0090 |   rav
   206353412 | 3379 |  158 |   79 | 5.104 | 0.024 | 0.036 | -0.015 | 0.160 | 0.240 |   0.194 |   0.028 |   0.013 |   0.174 |   0.031 |   0.012 | 2.317e+01 | 3.433e+00 | 4.595e+00 | 1.042e+02 | 2.547e+01 | 8.065e+00 | 0.0271 | 0.0096 | 0.0040 |   rpm
   206354262 | 4308 |   89 |  107 | 4.733 | 0.072 | 0.045 | -0.073 | 0.150 | 0.330 |   0.565 |   0.052 |   0.082 |   0.635 |   0.056 |   0.100 | 3.368e+00 | 1.238e+00 | 5.986e-01 | 1.756e+02 | 2.279e+01 | 2.757e+01 | 0.0338 | 0.0128 | 0.0080 |   col
   206356841 | 3659 |  145 |  174 | 4.995 | 0.096 | 0.080 | -0.067 | 0.150 | 0.240 |   0.276 |   0.069 |   0.074 |   0.284 |   0.111 |   0.093 | 1.229e+01 | 9.317e+00 | 4.077e+00 | 1.404e+02 | 4.555e+01 | 4.566e+01 | 0.0301 | 0.0128 | 0.0080 |   col
   206359809 | 5997 |  143 |  119 | 4.095 | 0.145 | 0.145 | -0.025 | 0.120 | 0.120 |   1.592 |   0.358 |   0.292 |   1.164 |   0.161 |   0.101 | 2.848e-01 | 2.101e-01 | 1.209e-01 | 2.395e+02 | 6.593e+01 | 4.393e+01 | 0.0371 | 0.0144 | 0.0080 |   rav
   206363823 | 5996 |  123 |  123 | 4.262 | 0.115 | 0.184 | -0.117 | 0.200 | 0.240 |   1.204 |   0.320 |   0.165 |   1.065 |   0.099 |   0.118 | 5.402e-01 | 2.681e-01 | 2.567e-01 | 3.456e+02 | 8.210e+01 | 8.210e+01 | 0.0422 | 0.0180 | 0.0100 |   plx
   206364937 | 3585 |   84 |  105 | 5.022 | 0.040 | 0.048 | -0.014 | 0.080 | 0.100 |   0.257 |   0.041 |   0.036 |   0.254 |   0.051 |   0.042 | 1.490e+01 | 3.430e+00 | 3.280e+00 | 1.144e+02 | 2.251e+01 | 2.218e+01 | 0.0275 | 0.0084 | 0.0060 |   rpm
   206366911 | 6038 |  144 |  108 | 4.136 | 0.215 | 0.215 | -0.168 | 0.200 | 0.280 |   1.400 |   0.524 |   0.326 |   1.102 |   0.173 |   0.144 | 3.315e-01 | 3.937e-01 | 1.800e-01 | 2.339e+02 | 8.840e+01 | 5.484e+01 | 0.0374 | 0.0140 | 0.0084 |   rpm
   206367156 | 3398 |  133 |  106 | 5.078 | 0.056 | 0.040 |  0.034 | 0.120 | 0.180 |   0.203 |   0.032 |   0.032 |   0.186 |   0.044 |   0.037 | 2.090e+01 | 7.488e+00 | 4.825e+00 | 6.902e+01 | 1.636e+01 | 1.323e+01 | 0.0190 | 0.0096 | 0.0060 |   rpm
   206371707 | 4983 |  126 |   84 | 3.456 | 0.140 | 0.140 | -0.165 | 0.120 | 0.150 |   3.350 |   0.631 |   0.531 |   1.265 |   0.166 |   0.166 | 2.998e-02 | 1.921e-02 | 1.171e-02 | 4.240e+02 | 7.645e+01 | 6.477e+01 | 0.0419 | 0.0162 | 0.0090 |   rav
   206374325 | 3961 |   39 |   39 | 0.047 | 0.020 | 0.020 | -1.778 | 0.050 | 0.050 | 140.782 |   2.816 |   2.816 |   0.805 |   0.016 |   0.016 | 2.892e-07 | 1.735e-08 | 1.735e-08 | 3.524e+04 | 1.057e+03 | 1.057e+03 | 0.0397 | 0.0010 | 0.0010 |   rav
   206376125 | 6613 |   66 |   66 | 4.272 | 0.035 | 0.042 | -1.545 | 0.160 | 0.060 |   1.092 |   0.056 |   0.053 |   0.825 |   0.017 |   0.017 | 6.266e-01 | 7.646e-02 | 9.328e-02 | 4.230e+02 | 5.118e+01 | 1.269e+01 | 0.0371 | 0.0140 | 0.0020 |   rav
   206380015 | 5907 |  178 |  214 | 4.346 | 0.115 | 0.207 | -0.188 | 0.200 | 0.360 |   1.083 |   0.334 |   0.168 |   0.976 |   0.100 |   0.100 | 7.199e-01 | 3.823e-01 | 3.855e-01 | 6.626e+02 | 2.013e+02 | 1.314e+02 | 0.0417 | 0.0162 | 0.0090 |   rpm
   206382205 | 4775 |  113 |  113 | 2.584 | 0.620 | 0.372 | -0.449 | 0.400 | 0.480 |   8.057 |   4.037 |   3.676 |   0.970 |   0.214 |   0.082 | 1.504e-03 | 1.072e-02 | 9.766e-04 | 1.511e+03 | 6.952e+02 | 6.546e+02 | 0.0434 | 0.0198 | 0.0110 |   rpm
   206383215 | 4570 |  144 |   90 | 2.054 | 0.400 | 0.560 | -0.677 | 0.480 | 0.480 |  12.915 |  11.301 |   4.672 |   0.935 |   0.081 |   0.081 | 2.802e-04 | 8.226e-04 | 2.391e-04 | 3.177e+03 | 2.248e+03 | 1.169e+03 | 0.0449 | 0.0180 | 0.0090 |   rpm
   206385071 | 4859 |  116 |  145 | 4.592 | 0.036 | 1.314 | -0.058 | 0.180 | 0.330 |   0.742 |   3.037 |   0.050 |   0.810 |   0.180 |   0.056 | 1.884e+00 | 3.296e-01 | 1.867e+00 | 4.172e+02 | 1.622e+03 | 4.793e+01 | 0.0442 | 0.0144 | 0.0090 |   rpm
   206387006 | 5260 |  125 |  125 | 4.535 | 0.036 | 0.042 |  0.008 | 0.160 | 0.200 |   0.841 |   0.060 |   0.056 |   0.885 |   0.054 |   0.065 | 1.475e+00 | 2.185e-01 | 2.594e-01 | 7.231e+02 | 8.450e+01 | 6.362e+01 | 0.0459 | 0.0220 | 0.0120 |   rpm
   206387534 | 5303 |  127 |   95 | 4.532 | 0.040 | 0.048 |  0.013 | 0.120 | 0.240 |   0.851 |   0.071 |   0.066 |   0.907 |   0.047 |   0.076 | 1.452e+00 | 2.540e-01 | 2.554e-01 | 5.773e+02 | 7.523e+01 | 4.836e+01 | 0.0437 | 0.0216 | 0.0108 |   rpm
   206388180 | 5679 |  175 |  175 | 4.203 | 0.204 | 0.408 |  0.157 | 0.100 | 0.100 |   1.284 |   0.926 |   0.334 |   1.089 |   0.161 |   0.101 | 3.812e-01 | 5.332e-01 | 2.872e-01 | 4.550e+02 | 1.706e+02 | 1.706e+02 | 0.0470 | 0.0338 | 0.0156 |   plx
