# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   202975993 | 4967 |  251 |  167 | 2.494 | 1.120 | 0.192 | -0.687 | 0.630 | 0.450 |   8.672 |   2.603 |   6.011 |   0.920 |   0.214 |   0.044 | 1.183e-03 | 5.167e-02 | 5.903e-04 | 4.378e+03 | 1.409e+03 | 2.876e+03 | 0.4526 | 0.3100 | 0.1550 |   rpm
   202989913 | 4771 |  139 |  139 | 2.467 | 0.656 | 0.246 | -0.196 | 0.200 | 0.600 |  10.501 |   2.382 |   5.539 |   1.131 |   0.222 |   0.222 | 8.646e-04 | 7.186e-03 | 4.161e-04 | 2.319e+03 | 5.105e+02 | 1.124e+03 | 0.3589 | 0.1408 | 0.0880 |   rpm
   202992567 | 4709 |  187 |  187 | 4.611 | 0.070 | 2.394 | -0.061 | 0.150 | 0.720 |   0.718 |  11.607 |   0.115 |   0.779 |   0.121 |   0.101 | 1.979e+00 | 8.166e-01 | 1.979e+00 | 5.213e+02 | 7.752e+03 | 9.464e+01 | 0.2687 | 0.1212 | 0.1212 |   rpm
   202994606 | 5054 |  307 |  175 | 2.424 | 0.754 | 0.174 | -0.847 | 0.490 | 0.350 |   9.215 |   2.153 |   5.237 |   0.906 |   0.104 |   0.035 | 1.004e-03 | 1.164e-02 | 4.575e-04 | 4.703e+03 | 9.252e+02 | 2.543e+03 | 0.5562 | 0.1884 | 0.1570 |   rpm
   202997646 | 4036 |  164 |  117 | 4.820 | 0.035 | 0.077 | -0.001 | 0.150 | 0.210 |   0.464 |   0.084 |   0.030 |   0.526 |   0.090 |   0.041 | 5.237e+00 | 7.208e-01 | 1.564e+00 | 1.169e+02 | 8.474e+01 | 3.923e+01 | 0.0661 | 0.0930 | 0.0310 |   rpm
   203000293 | 5738 |   69 |   57 | 3.868 | 0.040 | 0.064 |  0.191 | 0.050 | 0.060 |   2.151 |   0.225 |   0.087 |   1.287 |   0.061 |   0.026 | 1.235e-01 | 1.829e-02 | 2.719e-02 | 1.884e+02 | 1.325e+01 | 1.325e+01 | 0.1522 | 0.0432 | 0.0360 |   plx
   203001834 | 3874 |  744 |  465 | 4.966 | 0.140 | 0.196 | -0.463 | 0.400 | 0.640 |   0.304 |   0.177 |   0.112 |   0.329 |   0.210 |   0.180 | 1.023e+01 | 1.215e+01 | 6.231e+00 | 1.538e+02 | 1.210e+02 | 6.771e+01 | 0.1010 | 0.1100 | 0.0500 |   rpm
   203008242 | 4804 |   94 |   94 | 2.461 | 0.620 | 0.120 | -0.235 | 0.280 | 0.420 |   9.868 |   1.715 |   4.941 |   1.126 |   0.492 |   0.197 | 1.055e-03 | 8.195e-03 | 3.267e-04 | 1.204e+03 | 1.707e+02 | 5.697e+02 | 0.3049 | 0.1080 | 0.0900 |   rpm
   203014418 | 4675 |  233 |  116 | 4.650 | 0.060 | 0.030 | -0.222 | 0.200 | 0.440 |   0.666 |   0.028 |   0.097 |   0.713 |   0.029 |   0.111 | 2.418e+00 | 8.437e-01 | 2.629e-01 | 2.687e+02 | 1.119e+02 | 8.822e+01 | 0.1822 | 0.0680 | 0.0816 |   rpm
   203017698 | 5449 |  265 |  220 | 4.510 | 0.085 | 0.119 | -0.176 | 0.150 | 0.510 |   0.834 |   0.221 |   0.121 |   0.863 |   0.054 |   0.139 | 1.339e+00 | 6.190e-01 | 4.904e-01 | 2.663e+02 | 1.359e+02 | 1.395e+02 | 0.1917 | 0.0948 | 0.1264 |   rpm
   203018189 | 4965 |   78 |  136 | 2.737 | 0.702 | 0.468 | -0.616 | 0.490 | 0.350 |   6.224 |   4.385 |   2.883 |   0.934 |   0.307 |   0.055 | 2.926e-03 | 2.186e-02 | 2.337e-03 | 1.148e+03 | 8.913e+02 | 5.017e+02 | 0.3177 | 0.1024 | 0.0640 |   rpm
   203020983 | 4845 | 1217 |  553 | 4.702 | 0.180 | 0.180 | -1.133 | 0.300 | 1.440 |   0.550 |   0.175 |   0.176 |   0.584 |   0.136 |   0.159 | 3.522e+00 | 4.327e+00 | 1.942e+00 | 2.893e+02 | 2.670e+02 | 9.389e+01 | 0.1761 | 0.1458 | 0.0810 |   rpm
   203027558 | 4794 |  210 |  150 | 2.209 | 0.690 | 0.690 | -0.839 | 0.480 | 0.400 |   9.912 |  11.220 |   4.638 |   0.903 |   0.113 |   0.033 | 5.935e-04 | 3.419e-03 | 5.336e-04 | 3.939e+03 | 4.230e+03 | 1.794e+03 | 0.3930 | 0.1708 | 0.1220 |   rpm
