# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   205889250 | 4092 |  157 |  157 | 4.798 | 0.045 | 0.054 | -0.039 | 0.150 | 0.180 |   0.487 |   0.054 |   0.049 |   0.549 |   0.065 |   0.055 | 4.646e+00 | 1.136e+00 | 1.073e+00 | 3.924e+02 | 7.203e+01 | 5.141e+01 | 0.0433 | 0.0220 | 0.0100 |   rpm
   205890696 | 4055 |  271 |  193 | 4.822 | 0.075 | 0.075 | -0.217 | 0.250 | 0.250 |   0.454 |   0.078 |   0.079 |   0.503 |   0.076 |   0.091 | 5.152e+00 | 2.539e+00 | 1.463e+00 | 2.879e+02 | 7.455e+01 | 6.951e+01 | 0.0405 | 0.0160 | 0.0100 |   rpm
   205891576 | 5954 |  142 |   95 | 4.280 | 0.125 | 0.225 | -0.128 | 0.200 | 0.240 |   1.206 |   0.355 |   0.203 |   1.062 |   0.077 |   0.093 | 5.471e-01 | 3.402e-01 | 2.947e-01 | 4.708e+02 | 1.296e+02 | 8.636e+01 | 0.0413 | 0.0168 | 0.0070 |   rpm
   205891876 | 3869 |  139 |  116 | 4.867 | 0.063 | 0.035 |  0.006 | 0.160 | 0.200 |   0.417 |   0.032 |   0.062 |   0.468 |   0.035 |   0.077 | 6.307e+00 | 2.240e+00 | 8.138e-01 | 1.892e+02 | 1.826e+01 | 3.471e+01 | 0.0362 | 0.0162 | 0.0090 |   rpm
   205891958 | 3811 |  458 |  327 | 4.932 | 0.130 | 0.156 | -0.170 | 0.250 | 0.300 |   0.329 |   0.159 |   0.124 |   0.354 |   0.200 |   0.166 | 8.308e+00 | 9.050e+00 | 4.331e+00 | 4.661e+02 | 3.254e+02 | 1.916e+02 | 0.0416 | 0.0180 | 0.0090 |   col
   205892108 | 4766 |  115 |  201 | 2.263 | 0.125 | 0.175 | -0.415 | 0.120 | 0.150 |  12.419 |   2.199 |   1.578 |   1.021 |   0.109 |   0.068 | 5.367e-04 | 2.945e-04 | 2.192e-04 | 9.191e+02 | 1.479e+02 | 1.075e+02 | 0.0418 | 0.0160 | 0.0080 |   rav
   205892281 | 6584 |  159 |  159 | 4.238 | 0.055 | 0.077 |  0.050 | 0.100 | 0.100 |   1.440 |   0.151 |   0.115 |   1.340 |   0.071 |   0.071 | 4.274e-01 | 9.843e-02 | 1.076e-01 | 2.728e+02 | 3.527e+01 | 2.629e+01 | 0.0383 | 0.0144 | 0.0080 |   rav
   205892677 | 3985 |  190 |  158 | 4.842 | 0.045 | 0.072 | -0.046 | 0.160 | 0.240 |   0.438 |   0.073 |   0.046 |   0.497 |   0.081 |   0.058 | 5.524e+00 | 1.658e+00 | 1.457e+00 | 1.593e+02 | 3.887e+01 | 2.650e+01 | 0.0332 | 0.0144 | 0.0080 |   rpm
   205893085 | 5491 |   89 |  133 | 4.490 | 0.045 | 0.045 |  0.014 | 0.160 | 0.200 |   0.913 |   0.074 |   0.082 |   0.947 |   0.050 |   0.080 | 1.248e+00 | 2.874e-01 | 1.979e-01 | 3.285e+02 | 3.236e+01 | 4.318e+01 | 0.0448 | 0.0280 | 0.0100 |   rpm
   205893214 | 4799 |   95 |   95 | 2.366 | 0.260 | 0.572 | -0.482 | 0.240 | 0.600 |  10.995 |   8.522 |   2.037 |   1.001 |   0.267 |   0.148 | 7.073e-04 | 9.131e-04 | 5.931e-04 | 6.555e+02 | 4.670e+02 | 1.197e+02 | 0.0426 | 0.0128 | 0.0080 |   rpm
   205893469 | 5771 |  117 |  117 | 4.403 | 0.070 | 0.196 | -0.059 | 0.150 | 0.240 |   1.035 |   0.285 |   0.108 |   0.996 |   0.074 |   0.089 | 9.043e-01 | 2.742e-01 | 4.735e-01 | 1.995e+02 | 5.987e+01 | 2.453e+01 | 0.0372 | 0.0180 | 0.0090 |   rpm
   205893603 | 5586 |   89 |  111 | 4.489 | 0.040 | 0.064 | -0.207 | 0.240 | 0.240 |   0.890 |   0.126 |   0.084 |   0.907 |   0.078 |   0.078 | 1.258e+00 | 2.200e-01 | 3.168e-01 | 3.246e+02 | 6.493e+01 | 3.716e+01 | 0.0422 | 0.0120 | 0.0120 |   rpm
   205893702 | 6111 |  124 |   99 | 4.161 | 0.170 | 0.238 | -0.053 | 0.150 | 0.210 |   1.390 |   0.587 |   0.247 |   1.180 |   0.167 |   0.139 | 3.791e-01 | 2.951e-01 | 2.282e-01 | 4.813e+02 | 2.033e+02 | 8.555e+01 | 0.0455 | 0.0220 | 0.0100 |   rpm
   205893858 | 4026 |  250 |  156 | 4.834 | 0.035 | 0.091 | -0.074 | 0.160 | 0.240 |   0.444 |   0.098 |   0.034 |   0.504 |   0.104 |   0.048 | 5.577e+00 | 1.006e+00 | 1.892e+00 | 2.117e+02 | 7.049e+01 | 2.630e+01 | 0.0379 | 0.0144 | 0.0096 |   rpm
   205894004 | 4182 |  148 |  148 | 4.754 | 0.050 | 0.050 | -0.039 | 0.150 | 0.180 |   0.529 |   0.056 |   0.061 |   0.592 |   0.060 |   0.060 | 3.956e+00 | 9.672e-01 | 7.772e-01 | 4.246e+02 | 6.742e+01 | 6.882e+01 | 0.0426 | 0.0216 | 0.0090 |   rpm
   205894358 | 5342 |  129 |   96 | 4.530 | 0.048 | 0.080 | -0.068 | 0.280 | 0.160 |   0.844 |   0.134 |   0.071 |   0.896 |   0.082 |   0.068 | 1.400e+00 | 3.028e-01 | 3.765e-01 | 2.944e+02 | 5.889e+01 | 2.787e+01 | 0.0491 | 0.0084 | 0.0098 |   rpm
   205894941 | 4210 |  251 |  251 | 4.777 | 0.090 | 0.090 | -0.197 | 0.240 | 0.280 |   0.492 |   0.102 |   0.100 |   0.556 |   0.103 |   0.103 | 4.410e+00 | 2.188e+00 | 1.463e+00 | 2.959e+02 | 9.060e+01 | 6.936e+01 | 0.0377 | 0.0108 | 0.0090 |   rpm
   205895090 | 5897 |  117 |  140 | 4.259 | 0.174 | 0.348 |  0.037 | 0.150 | 0.180 |   1.244 |   0.748 |   0.240 |   1.087 |   0.141 |   0.088 | 5.145e-01 | 4.704e-01 | 3.741e-01 | 4.162e+02 | 2.137e+02 | 8.559e+01 | 0.0457 | 0.0192 | 0.0120 |   rpm
   205895252 | 5416 |  109 |  109 | 4.542 | 0.040 | 0.064 | -0.172 | 0.200 | 0.240 |   0.814 |   0.093 |   0.070 |   0.861 |   0.074 |   0.074 | 1.491e+00 | 3.688e-01 | 3.389e-01 | 1.379e+02 | 2.152e+01 | 1.357e+01 | 0.0320 | 0.0182 | 0.0084 |   rpm
   205895680 | 5429 |  132 |  165 | 4.428 | 0.095 | 1.007 | -0.112 | 0.160 | 0.440 |   1.021 |   2.927 |   0.189 |   0.967 |   0.196 |   0.098 | 8.954e-01 | 4.914e-01 | 8.820e-01 | 3.105e+02 | 6.746e+02 | 8.075e+01 | 0.0443 | 0.0288 | 0.0090 |   rpm
   205896070 | 5908 |  141 |  141 | 4.327 | 0.126 | 0.252 | -0.223 | 0.250 | 0.300 |   1.129 |   0.337 |   0.192 |   1.000 |   0.114 |   0.114 | 6.872e-01 | 3.529e-01 | 4.111e-01 | 4.241e+02 | 1.427e+02 | 9.337e+01 | 0.0421 | 0.0160 | 0.0100 |   rpm
   205896106 | 7177 |  144 |  173 | 4.187 | 0.045 | 0.063 |  0.072 | 0.120 | 0.100 |   1.647 |   0.156 |   0.103 |   1.553 |   0.080 |   0.080 | 3.410e-01 | 5.965e-02 | 6.889e-02 | 4.423e+02 | 3.712e+01 | 3.425e+01 | 0.0440 | 0.0198 | 0.0108 |   rav
   205896226 | 6004 |  117 |  117 | 4.225 | 0.155 | 0.217 | -0.179 | 0.200 | 0.240 |   1.261 |   0.371 |   0.250 |   1.047 |   0.121 |   0.101 | 4.906e-01 | 3.426e-01 | 2.804e-01 | 1.835e+02 | 5.862e+01 | 3.296e+01 | 0.0336 | 0.0128 | 0.0080 |   rpm
   205896348 | 4027 |  162 |  138 | 4.823 | 0.048 | 0.056 | -0.088 | 0.160 | 0.200 |   0.453 |   0.057 |   0.043 |   0.515 |   0.062 |   0.051 | 5.298e+00 | 1.145e+00 | 1.109e+00 | 2.127e+02 | 3.904e+01 | 2.787e+01 | 0.0408 | 0.0200 | 0.0100 |   rpm
   205896459 | 5208 |  190 |  126 | 3.603 | 0.125 | 0.150 | -0.504 | 0.180 | 0.150 |   2.579 |   0.472 |   0.399 |   1.025 |   0.156 |   0.097 | 5.293e-02 | 3.193e-02 | 1.992e-02 | 4.104e+02 | 7.669e+01 | 5.460e+01 | 0.0411 | 0.0182 | 0.0084 |   rav
   205896499 | 4023 |  186 |  155 | 4.814 | 0.066 | 0.055 | -0.072 | 0.160 | 0.200 |   0.463 |   0.059 |   0.071 |   0.511 |   0.065 |   0.078 | 5.151e+00 | 1.830e+00 | 1.153e+00 | 2.788e+02 | 5.639e+01 | 4.690e+01 | 0.0405 | 0.0200 | 0.0100 |   rpm
   205896721 | 4774 |   94 |   75 | 2.423 | 0.615 | 0.246 | -0.634 | 0.420 | 0.300 |   9.488 |   2.707 |   4.293 |   0.935 |   0.198 |   0.037 | 9.684e-04 | 6.412e-03 | 5.628e-04 | 1.927e+03 | 5.716e+02 | 8.295e+02 | 0.0425 | 0.0234 | 0.0090 |   rpm
   205896803 | 3777 |  450 |  321 | 4.932 | 0.156 | 0.156 | -0.184 | 0.240 | 0.320 |   0.313 |   0.155 |   0.120 |   0.349 |   0.196 |   0.164 | 9.484e+00 | 1.056e+01 | 4.997e+00 | 5.611e+02 | 3.874e+02 | 2.623e+02 | 0.0416 | 0.0180 | 0.0090 |   col
